Rank	Title	Distributor	Revenue £m	Year
1	SPECTRE	Sony	93.8	2015
2	Star Wars: The Force Awakens	Walt Disney	87.1	2015
3	Jurassic World	Universal	64.3	2015
4	The Avengers: Age Of Ultron	Walt Disney	48.3	2015
5	Minions	Universal	47.5	2015
6	Inside Out	Walt Disney	39.2	2015
7	Fast & Furious 7	Universal	38.6	2015
8	Fifty Shades Of Grey	Universal	34.8	2015
9	The Hunger Games: Mockingjay, Part 2	Lionsgate UK	28.1	2015
10	Home	20th Century Fox	25.4	2015
